id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
86154755@OBS,https://observation.org/observation/86154755,OBS.86154755,HumanObservation,Observations,Ciconia ciconia,species,Animalia,STORKS_CICONIIDAE,Animalia|STORKS_CICONIIDAE,White Stork,NA,1,unknown,undetermined,23.8502173126,52.7039024474,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża - Palace Park,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86154755,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-25
86154517@OBS,https://observation.org/observation/86154517,OBS.86154517,HumanObservation,Observations,Phoenicurus ochruros,species,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Animalia|OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Redstart,NA,1,unknown,undetermined,23.8522769138,52.7021799614,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86154517,Stichting Natuurinformatie,CC BY-NC 4.0,2015-02-16
86154306@OBS,https://observation.org/observation/86154306,OBS.86154306,HumanObservation,Observations,Lanius collurio,species,Animalia,SHRIKES_LANIIDAE,Animalia|SHRIKES_LANIIDAE,Red-backed Shrike,NA,1,unknown,undetermined,23.8869095966,52.7058269965,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86154306,Stichting Natuurinformatie,CC BY-NC 4.0,2014-08-17
86153808@OBS,https://observation.org/observation/86153808,OBS.86153808,HumanObservation,Observations,Acrocephalus arundinaceus,species,Animalia,Acrocephalidae,Animalia|Acrocephalidae,Great Reed Warbler,NA,1,unknown,undetermined,23.8797859848,52.6899101198,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153808,Stichting Natuurinformatie,CC BY-NC 4.0,2017-06-20
86153749@OBS,https://observation.org/observation/86153749,OBS.86153749,HumanObservation,Observations,Lanius collurio,species,Animalia,SHRIKES_LANIIDAE,Animalia|SHRIKES_LANIIDAE,Red-backed Shrike,NA,1,unknown,undetermined,23.8585355133,52.6851628363,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153749,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153691@OBS,https://observation.org/observation/86153691,OBS.86153691,HumanObservation,Observations,Hirundo rustica,species,Animalia,SWALLOWS_HIRUNDINIDAE,Animalia|SWALLOWS_HIRUNDINIDAE,Barn Swallow,NA,1,unknown,undetermined,23.874335736,52.6890517084,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153691,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153652@OBS,https://observation.org/observation/86153652,OBS.86153652,HumanObservation,Observations,Passer montanus,species,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Animalia|OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,NA,1,unknown,undetermined,23.874335736,52.6890517084,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153652,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153598@OBS,https://observation.org/observation/86153598,OBS.86153598,HumanObservation,Observations,Emberiza citrinella,species,Animalia,BUNTINGS_EMBERIZIDAE,Animalia|BUNTINGS_EMBERIZIDAE,Yellowhammer,NA,1,unknown,undetermined,23.874335736,52.6890517084,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153598,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153409@OBS,https://observation.org/observation/86153409,OBS.86153409,HumanObservation,Observations,Motacilla alba,species,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail,NA,1,unknown,undetermined,23.8784703612,52.6904299545,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153409,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153304@OBS,https://observation.org/observation/86153304,OBS.86153304,HumanObservation,Observations,Emberiza citrinella,species,Animalia,BUNTINGS_EMBERIZIDAE,Animalia|BUNTINGS_EMBERIZIDAE,Yellowhammer,NA,1,unknown,undetermined,23.8784703612,52.6904299545,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153304,Stichting Natuurinformatie,CC BY-NC 4.0,2017-12-07
